"country"	"country_code"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
"China, Hong Kong SAR"	344	1.0474	0.9765	0.9433	1.0011	1.0501	1.0923	1.1275	1.1584	1.1843	1.2063	1.2258	1.2431	1.2563	1.2679	1.2785	1.2883	1.2965
"China, Macao SAR"	446	1.0894	1.0537	1.0439	1.1134	1.1689	1.2113	1.2444	1.2722	1.2937	1.3106	1.3236	1.3354	1.3439	1.3514	1.3587	1.3636	1.3673
"Dem. People's Rep. of Korea"	408	1.6861	1.4977	1.3705	1.3492	1.3325	1.3219	1.3165	1.3126	1.3123	1.3148	1.3163	1.3192	1.3228	1.326	1.3281	1.3314	1.3332
"Japan"	392	1.2127	1.1195	1.0656	1.1061	1.1399	1.1698	1.1936	1.2139	1.2319	1.2471	1.2594	1.271	1.2791	1.2875	1.2944	1.3005	1.3066
"Mongolia"	496	2.2875	2.0255	1.8325	1.7557	1.6925	1.639	1.5977	1.5637	1.5337	1.5118	1.4934	1.4777	1.4662	1.4562	1.4468	1.4399	1.4337
"Republic of Korea"	410	1.0794	0.9925	0.9472	0.9959	1.0367	1.0729	1.1039	1.1307	1.153	1.1725	1.1899	1.2061	1.2195	1.2319	1.243	1.2509	1.2566
"China, Taiwan Province of China"	158	0.7814	0.6601	0.6522	0.7361	0.8141	0.8832	0.9459	0.9997	1.0468	1.0863	1.1198	1.1513	1.1768	1.1981	1.216	1.2315	1.2455
"South-Central Asia"	921	2.172744299	1.897333924	1.684913688	1.591790036	1.521079773	1.473440504	1.434285538	1.399199237	1.367389005	1.343441995	1.326399786	1.315970924	1.310609215	1.306790887	1.304118808	1.302623156	1.303473504
"Central Asia"	5500	2.304157475	2.037987271	1.832966084	1.740085634	1.665201262	1.617462659	1.580064252	1.542226749	1.50508584	1.472474684	1.44638412	1.424873742	1.407946895	1.39559372	1.385776052	1.376524766	1.368668911
"Kazakhstan"	398	2.2812	2.0357	1.8496	1.7758	1.7119	1.6547	1.6045	1.5608	1.5224	1.4893	1.4634	1.4422	1.4242	1.4103	1.399	1.3899	1.383
"Kyrgyzstan"	417	2.6763	2.3711	2.1409	2.0305	1.9351	1.8508	1.7759	1.707	1.6474	1.5961	1.5511	1.5123	1.4827	1.4553	1.436	1.4193	1.409
"Tajikistan"	762	3.0682	2.7167	2.4456	2.302	2.1755	2.0662	1.9649	1.8747	1.7919	1.7158	1.6493	1.5891	1.5367	1.4931	1.457	1.4291	1.4061
"Turkmenistan"	795	1.9656	1.7093	1.5191	1.4475	1.3874	1.3449	1.3106	1.2908	1.2775	1.269	1.2668	1.2678	1.271	1.2737	1.2797	1.2839	1.2901
"Uzbekistan"	860	2.079	1.8101	1.6142	1.5384	1.475	1.4295	1.3937	1.3659	1.3478	1.335	1.3265	1.3223	1.3199	1.3199	1.3201	1.3215	1.3251
"Southern Asia"	5501	2.167107907	1.890583124	1.678774155	1.587523384	1.517655119	1.468901612	1.428414715	1.393154978	1.362129711	1.339153389	1.322566022	1.312162715	1.306739582	1.30299499	1.300618048	1.299480486	1.300611605
"Afghanistan"	4	3.995	3.1267	2.5159	2.1726	1.9221	1.7345	1.5871	1.4722	1.3849	1.3208	1.2739	1.246	1.2311	1.2257	1.2262	1.2306	1.2385
"Bangladesh"	50	1.8257	1.5452	1.342	1.2642	1.2123	1.1801	1.1676	1.1675	1.1754	1.186	1.1997	1.2164	1.2301	1.2426	1.2543	1.2653	1.2767
"Bhutan"	64	1.6764	1.3908	1.1902	1.1235	1.0861	1.0766	1.0852	1.1047	1.1296	1.1504	1.1757	1.1966	1.2137	1.2302	1.2461	1.2582	1.27
"India"	356	2.0929	1.831	1.6353	1.5567	1.4892	1.4364	1.3918	1.3581	1.3321	1.3157	1.3037	1.2952	1.292	1.2913	1.2918	1.2933	1.2958
"Iran (Islamic Republic of)"	364	1.3684	1.1249	0.99	1.007	1.0432	1.0783	1.1101	1.1385	1.162	1.1876	1.2076	1.2264	1.2418	1.2542	1.2681	1.2792	1.2888
"Maldives"	462	1.7335	1.4289	1.2239	1.163	1.1432	1.1497	1.1669	1.1853	1.202	1.2185	1.2351	1.2483	1.2609	1.2725	1.2831	1.292	1.3005
"Nepal"	524	1.8428	1.5475	1.3458	1.274	1.2286	1.2005	1.1917	1.1905	1.1964	1.2071	1.2188	1.2303	1.2421	1.2522	1.2642	1.2735	1.2833
"Pakistan"	586	3.1276	2.701	2.3798	2.201	2.0513	1.9213	1.8093	1.7114	1.6273	1.555	1.4943	1.4459	1.4081	1.379	1.3585	1.3414	1.3304
"Sri Lanka"	144	1.7764	1.5557	1.4031	1.3611	1.3324	1.3157	1.3026	1.2965	1.2936	1.2932	1.2947	1.2982	1.3028	1.3077	1.3118	1.316	1.3206
"South-Eastern Asia"	920	2.00020544	1.765627754	1.600585032	1.550559079	1.510111321	1.472879583	1.440194623	1.411756649	1.388902051	1.372764936	1.361231799	1.351780805	1.344621044	1.338494141	1.334782088	1.33372137	1.333798238
